match_id,tournament_year,game_type,stage_raw,stage,is_knockout,match_date,country_a,country_b,country_a_code,country_b_code,goals_a_90,goals_b_90,outcome_90,goals_a_after_extra_time,goals_b_after_extra_time,penalties_a,penalties_b,extra_time,score_details,venue,rank_a,rank_b,ranking_points_a,ranking_points_b,rank_diff,ranking_points_diff,confederation_a,confederation_b,same_confederation
944,2022,championship,Group H,group,false,2022-11-24,Portugal,Ghana,POR,GHA,3,2,A_WIN,,,,,false,(0-0),"Stadium 974, Doha",8,60,1674.78,1387.36,52,287.42,UEFA,CAF,false
945,2022,championship,Group H,group,false,2022-11-28,South Korea,Ghana,KOR,GHA,2,3,B_WIN,,,,,false,(0-2),"Education City Stadium, Al Rayyan",29,60,1519.54,1387.36,31,132.18,AFC,CAF,false
946,2022,championship,Group H,group,false,2022-11-28,Portugal,Uruguay,POR,URU,2,0,A_WIN,,,,,false,(0-0),"Lusail Iconic Stadium, Lusail",8,13,1674.78,1635.73,5,39.05,UEFA,CONMEBOL,false
947,2022,championship,Group H,group,false,2022-12-02,Ghana,Uruguay,GHA,URU,0,2,B_WIN,,,,,false,,"Al Janoub Stadium, Al Wakrah",60,13,1387.36,1635.73,-47,-248.37,CAF,CONMEBOL,false
948,2022,championship,Group H,group,false,2022-12-02,South Korea,Portugal,KOR,POR,2,1,A_WIN,,,,,false,(1-1),"Lusail Iconic Stadium, Lusail",29,8,1519.54,1674.78,-21,-155.24,AFC,UEFA,false
949,2022,championship,Round of 16,round_of_16,true,2022-12-03,Netherlands,USA,NED,USA,3,1,A_WIN,,,,,false,(2-0),"Khalifa International Stadium, Al Rayyan",10,15,1658.66,1633.72,5,24.94,UEFA,CONCACAF,false
950,2022,championship,Round of 16,round_of_16,true,2022-12-03,Argentina,Australia,ARG,AUS,2,1,A_WIN,,,,,false,(1-0),"Ahmad bin Ali Stadium, Al Rayyan",4,42,1765.13,1462.29,38,302.84,CONMEBOL,AFC,false
951,2022,championship,Round of 16,round_of_16,true,2022-12-04,France,Poland,FRA,POL,3,1,A_WIN,,,,,false,(1-0),"Al Thumama Stadium, Doha",3,26,1789.85,1544.2,23,245.65,UEFA,UEFA,true
952,2022,championship,Round of 16,round_of_16,true,2022-12-04,England,Senegal,ENG,SEN,3,0,A_WIN,,,,,false,(2-0),"Al Bayt Stadium, Al Khor",5,20,1761.71,1584.16,15,177.55,UEFA,CAF,false
953,2022,championship,Round of 16,round_of_16,true,2022-12-05,Japan,Croatia,JPN,CRO,1,1,DRAW,1,1,1,3,true,"a.e.t (1-1, 1-0) , 1-3 pen.","Al Janoub Stadium, Al Wakrah",23,16,1553.44,1621.11,-7,-67.67,AFC,UEFA,false
954,2022,championship,Round of 16,round_of_16,true,2022-12-05,Brazil,South Korea,BRA,KOR,4,1,A_WIN,,,,,false,(4-0),"Stadium 974, Doha",1,29,1832.69,1519.54,28,313.15,CONMEBOL,AFC,false
